Title,Authors,Year,Cited By,Dataset,Abstract,URL,Mentions_F1,Mentions_Accuracy,Mentions_Bias
The extended cohn-kanade dataset (ck+): A complete dataset for action unit and emotion-specified expression,"['P Lucey', 'JF Cohn', 'T Kanade', 'J Saragih']",2010,5134,CK+,"In 2000, the Cohn-Kanade (CK) database was released for the purpose of promoting research  into automatically detecting individual facial expressions. Since then, the CK database",https://ieeexplore.ieee.org/document/5543262,False,False,False
A Novel Platform for Detection of CK+ and CK− CTCs,"['CV Pecot', 'FZ Bischoff', 'JA Mayer', 'KL Wong', 'T Pham']",2011,225,CK+,"Metastasis is a complex, multistep process that begins with the epithelial–mesenchymal  transition (EMT). Circulating tumor cells (CTC) are believed to have undergone EMT and thus",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3237635/,False,False,False
All circulating EpCAM+ CK+ CD45-objects predict overall survival in castration-resistant prostate cancer,"['FAW Coumans', 'CJM Doggen', 'G Attard', 'JS De Bono']",2010,241,CK+,Background Presence of five or more circulating tumor cells (CTC) in patients with metastatic  carcinomas is associated with poor survival. Although many objects positive for epithelial,https://pubmed.ncbi.nlm.nih.gov/20147742/,False,False,False
"Patterns of circulating tumor cells identified by CEP8, CK and CD45 in pancreatic cancer","['Y Zhang', 'F Wang', 'N Ning', 'Q Chen']",2015,102,CK+,"To improve the identification for CTCs with weak or negative CK and diploid CTCs in  pancreatic cancer, we combined immune‐staining of CK, CD45, DAPI and fluorescence in situ",https://pubmed.ncbi.nlm.nih.gov/25042121/,False,False,False
Detection of breast cancer cells in the peripheral blood is positively correlated with estrogen‐receptor status and predicts for poor prognosis,"['JJ Gaforio', 'MJ Serrano']",2003,181,CK+,We investigated whether detection of cytokeratin‐positive (CK+) cells in the peripheral blood  (PB) of breast cancer patients before chemotherapy could be a prognostic factor. Blood,https://pubmed.ncbi.nlm.nih.gov/14601059/,False,False,False
Optimal policies for the inventory problem with negotiable leadtime,['Y Fukuda'],1964,327,CK+,"In this paper we study the dynamic inventory problem in which amounts of stock ordered at  unit prices c k and c k+1 (c k > c k+1 ) are delivered, respectively, k and k + 1 periods later. It",https://www.jstor.org/stable/2627513,False,False,False
CD133 expression in circulating tumor cells from breast cancer patients: potential role in resistance to chemotherapy,"['R Nadal', 'FG Ortega', 'M Salido']",2013,122,CK+,"CD133 has been associated with cell properties such as self renewal, migration and  vasculogenic mimicry, potentially involved in generation of circulating tumor cells (CTCs). We",https://pubmed.ncbi.nlm.nih.gov/23661576/,False,False,False
Heterogeneous atypical cell populations are present in blood of metastatic breast cancer patients,"['MB Lustberg', 'P Balasubramanian', 'B Miller']",2014,126,CK+,"Introduction Circulating tumor cells (CTCs) are commonly isolated from the blood by  targeting the epithelial cell adhesion molecule (EpCAM) through positive selection. However,",https://breast-cancer-research.biomedcentral.com/articles/10.1186/bcr3622,False,False,False
Epithelial to mesenchymal transition markers expressed in circulating tumour cells of early and metastatic breast cancer patients,"['G Kallergi', 'MA Papadaki', 'E Politaki', 'D Mavroudis']",2011,452,CK+,"Introduction Epithelial to mesenchymal transition (EMT) is considered an essential process  in the metastatic cascade. EMT is characterised by upregulation of vimentin, Twist, Snail,",https://breast-cancer-research.biomedcentral.com/articles/10.1186/bcr2896,False,False,False
Detection of circulating cytokeratin-positive cells in the blood of breast cancer patients using immunomagnetic enrichment and digital microscopy,"['TE Witzig', 'B Bossy', 'T Kimlinger', 'PC Roche', 'JN Ingle']",2002,221,CK+,Purpose: To examine the feasibility for identifying and enumerating cytokeratin positive (CK+)  cells in the peripheral blood of breast cancer patients. Experimental Design: Blood,https://pubmed.ncbi.nlm.nih.gov/12006523/,False,False,False
The multiple mini-interview (MMI) for student selection in health professions training–a systematic review,"['A Pau', 'K Jeevaratnam', 'YS Chen', 'AA Fall', 'C Khoo']",2013,244,MMI,Background: The Multiple Mini-Interview (MMI) has been used increasingly for selection of  students to health professions programmes. Objectives: This paper reports on the evidence,https://pubmed.ncbi.nlm.nih.gov/24050709/,False,False,False
Advances in optical fiber sensors based on multimode interference (MMI): a review,"['K Wang', 'X Dong', 'MH Köhler', 'P Kienle']",2020,111,MMI,"This review presents MMI-based fiber sensors with a specific  The fundamentals of MMI-based  fiber sensors are briefly  sensors, MMI-based sensors with no-core fiber (NCF), MMI-based",https://ieeexplore.ieee.org/document/9162065,False,False,False
Low loss MMI couplers for high performance MZI modulators,"['DJ Thomson', 'Y Hu', 'GT Reed']",2010,171,MMI,"to below 1 dB/MMI without affecting the static extinction  ) MMI-based crossing structure  [10], and in MMI couplers in other material systems [11]. Other approaches are possible for MMI",https://ieeexplore.ieee.org/iel5/68/5577591/05540271.pdf,False,False,False
General matrix theory of self-imaging in multimode interference (MMI) couplers,"['JM Heaton', 'RM Jenkins']",1999,115,MMI,We present a simple and very general matrix method for predicting the properties of integrated  optical multimode interference (MMI) couplers with single-mode input and output guides.,http://ieeexplore.ieee.org/document/740707/,False,False,False
A compact and low-loss MMI coupler fabricated with CMOS technology,"['Z Sheng', 'Z Wang', 'C Qiu', 'L Li', 'A Pang']",2012,125,MMI,"of the MMI coupler was reduced to 0.2dB [13]. In this paper, a compact and low loss MMI  coupler  The footprint of the optimal MMI coupler is only ~3.6×11.5μm2 for the multimode region.",https://ieeexplore.ieee.org/document/6363508,False,False,False
Evidence regarding the utility of multiple mini-interview (MMI) for selection to undergraduate health programs: A BEME systematic review: BEME Guide No. 37,"['EL Rees', 'AW Hawarden', 'G Dent', 'R Hays', 'J Bates']",2016,155,MMI,"Background: In the 11 years since its development at McMaster University Medical School,  the multiple mini-interview (MMI) has become a popular selection tool. We aimed to",https://pubmed.ncbi.nlm.nih.gov/27050026/,False,False,False
Boosted MMI for model and feature-space discriminative training,"['D Povey', 'D Kanevsky', 'B Kingsbury']",2008,498,MMI,the MMI objective function (we use “fBMMI” if boosted MMI is  for the lower range of the MMI  objective function; this leads to  fixed value such as 7 for both MPE and MMI-based training.,https://www.danielpovey.com/files/icassp08_mmi.pdf,False,False,False
